year,c2f6,c6f14,nitrousOxide,c3f8,c7f16,methane,sf6,c4f10,c8f18,methylBromide,c4f8,carbonTetraChloride,methylChloride,c5f12,co2,nf3
105,0.0,0.0,267.283050074856,0.0,0.0,663.336016375826,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.645,0.0
106,0.0,0.0,267.283050074856,0.0,0.0,663.4070205904401,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.643,0.0
107,0.0,0.0,267.283050074856,0.0,0.0,663.480024639509,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.651,0.0
108,0.0,0.0,267.283050074856,0.0,0.0,663.582022337719,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.656,0.0
109,0.0,0.0,267.283050074856,0.0,0.0,663.676014428993,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.659,0.0
110,0.0,0.0,267.283050074856,0.0,0.0,663.728020760492,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.663,0.0
111,0.0,0.0,267.283050074856,0.0,0.0,663.7860227219979,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.671,0.0
112,0.0,0.0,267.283050074856,0.0,0.0,663.8620196154701,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.678,0.0
113,0.0,0.0,267.283050074856,0.0,0.0,663.9240162048781,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.694,0.0
114,0.0,0.0,267.283050074856,0.0,0.0,663.969022675884,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.702,0.0
115,0.0,0.0,267.283050074856,0.0,0.0,664.026018234171,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.71,0.0
116,0.0,0.0,267.283050074856,0.0,0.0,664.082022577836,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.717,0.0
117,0.0,0.0,267.283050074856,0.0,0.0,664.148018833888,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.718,0.0
118,0.0,0.0,267.283050074856,0.0,0.0,664.215023034592,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.723,0.0
119,0.0,0.0,267.283050074856,0.0,0.0,664.285015096666,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.726,0.0
120,0.0,0.0,267.283050074856,0.0,0.0,664.332021165699,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.733,0.0
121,0.0,0.0,267.283050074856,0.0,0.0,664.370014461445,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.73900000000003,0.0
122,0.0,0.0,267.283050074856,0.0,0.0,664.413034768063,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.744,0.0
123,0.0,0.0,267.283050074856,0.0,0.0,664.527006783684,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.748,0.0
124,0.0,0.0,267.283050074856,0.0,0.0,664.4949834525551,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.75,0.0
125,0.0,0.0,267.283050074856,0.0,0.0,664.314036165977,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.758,0.0
126,0.0,0.0,267.283050074856,0.0,0.0,664.226997638189,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.76099999999997,0.0
127,0.0,0.0,267.283050074856,0.0,0.0,664.110027449519,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.765,0.0
128,0.0,0.0,267.283050074856,0.0,0.0,664.018996508781,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.769,0.0
129,0.0,0.0,267.283050074856,0.0,0.0,663.9520652952871,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.77,0.0
130,0.0,0.0,267.283050074856,0.0,0.0,664.0569636015799,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.77299999999997,0.0
131,0.0,0.0,267.283050074856,0.0,0.0,663.894024329598,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.779,0.0
132,0.0,0.0,267.28305007486,0.0,0.0,663.791034855254,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.785,0.0
133,0.0,0.0,267.283050074856,0.0,0.0,663.842017689096,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.79,0.0
134,0.0,0.0,267.283050074856,0.0,0.0,663.812969708491,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.79400000000004,0.0
135,0.0,0.0,267.283050074856,0.0,0.0,663.583043969048,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.801,0.0
136,0.0,0.0,267.283050074856,0.0,0.0,663.475991432643,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.808,0.0
137,0.0,0.0,267.283050074856,0.0,0.0,663.357053483293,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.813,0.0
138,0.0,0.0,267.283050074856,0.0,0.0,663.469028225903,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.82099999999997,0.0
139,0.0,0.0,267.283050074856,0.0,0.0,663.577976066024,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.828,0.0
140,0.0,0.0,267.283050074856,0.0,0.0,663.4560315783821,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.832,0.0
141,0.0,0.0,267.283050074855,0.0,0.0,663.4090199232779,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.835,0.0
142,0.0,0.0,267.283050074856,0.0,0.0,663.394006758244,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.846,0.0
143,0.0,0.0,267.28305007485403,0.0,0.0,663.367039444066,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.855,0.0
144,0.0,0.0,267.283050074858,0.0,0.0,663.410990978812,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.85900000000004,0.0
145,0.0,0.0,267.283050074847,0.0,0.0,663.3860559753911,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.869,0.0
146,0.0,0.0,267.283050074878,0.0,0.0,663.517999889294,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.876,0.0
147,0.0,0.0,267.283050074796,0.0,0.0,663.556014718647,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.884,0.0
148,0.0,0.0,267.283050075022,0.0,0.0,663.535016191876,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.89,0.0
149,0.0,0.0,267.283050074386,0.0,0.0,663.552041872702,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.897,0.0
150,0.0,0.0,267.283050076201,0.0,0.0,663.671000769636,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.907,0.0
151,0.0,0.0,267.283050070947,0.0,0.0,663.682011728074,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.91700000000003,0.0
152,0.0,0.0,267.28305008638597,0.0,0.0,663.604999045485,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.92400000000004,0.0
153,0.0,0.0,267.28305004016397,0.0,0.0,663.476034511403,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.934,0.0
154,0.0,0.0,267.283050194166,0.0,0.0,663.452009357906,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.94599999999997,0.0
155,0.0,0.0,267.28704969236696,0.0,0.0,663.424021217854,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.95599999999996,0.0
156,0.0,0.0,267.273050715612,0.0,0.0,663.41301617997,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.97700000000003,0.0
157,0.0,0.0,267.273049736803,0.0,0.0,663.3870043064929,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.98400000000004,0.0
158,0.0,0.0,267.267050527628,0.0,0.0,663.318032523328,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,278.0,0.0
159,0.0,0.0,267.277049676652,0.0,0.0,663.3230046274031,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,278.012,0.0
160,0.0,0.0,267.28705000404597,0.0,0.0,663.269010633488,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,278.029,0.0
161,0.0,0.0,267.298049847531,0.0,0.0,663.186024182839,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,278.04200000000003,0.0
162,0.0,0.0,267.310049875835,0.0,0.0,663.1740236487229,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,278.055,0.0
